molecule_id,protein_family,MW,logP,HBD,HBA,TPSA,rotB,aromatic_rings,HOMO_eV,LUMO_eV,gap_eV,dipole_D,E_DFT_kcalmol,E_xTB_kcalmol,n_hbonds,n_hydrophobic,n_pi,n_salt_bridges,buried_SA_A2,pKd,Ro5_violations,Ro5_pass,delta_DFT_minus_xTB
MOL00010,GPCR,405.16208727332787,0.7756464477470446,4,4,70.93668984755328,1,3,-5.85094360306284,-2.604145551106553,3.2467980519562865,2.940426528065839,11.91572035502811,14.160998393451985,1,5,3,1,518.083064808168,4.933577713220169,0,True,-2.2452780384238746
MOL00011,kinase,376.33301024177774,1.3922650420588867,2,3,60.1060794132524,6,1,-6.400169802996624,-1.8491140296075739,4.55105577338905,2.6778972120617865,10.494168736172425,12.59891642913718,3,5,1,2,479.2418532034571,6.666642487069132,0,True,-2.1047476929647555
MOL00012,other,384.4954351479771,2.734433438760303,5,1,39.604750874847774,3,1,-6.093693883869472,-1.9192861225472657,4.174407761322206,2.592045758236038,8.99439755291518,9.283391829597575,2,4,0,1,428.4229002232024,7.339834980314826,0,True,-0.28899427668239497
MOL00013,epigenetic,341.87628493148793,1.025583328866637,0,10,97.05097022634334,7,1,-7.067356148510174,-2.092251949900193,4.975104198609982,4.4864054674066605,11.054837379279869,12.979084602094192,2,6,0,1,310.6153086720059,6.046545629451589,0,True,-1.9242472228143228
MOL00014,nuclear_receptor,355.9837047650478,3.6011725304694893,1,7,50.384231589504566,5,3,-5.793682590860156,-2.371327862175411,3.422354728684745,2.9818090179225236,10.674970680368562,12.603128395630549,2,7,5,0,482.5952407056501,6.1527625846041625,0,True,-1.928157715261987
MOL00015,GPCR,379.6766025973848,-0.3114362795195853,2,4,44.879802067187924,7,4,-6.264213957732219,-2.199358077143221,4.064855880588998,2.3285246030941527,12.82821410108269,14.414347903407974,0,5,4,0,504.3099190284766,6.4137961391958855,0,True,-1.5861338023252838
MOL00016,protease,257.57929676785227,2.22903098434904,1,9,71.75801788805148,8,0,-6.003593189175114,-1.9439338198688474,4.059659369306267,3.0854523760014434,9.285761547105666,6.7130145280419775,2,1,0,2,220.7707487735418,5.088254901819702,0,True,2.572747019063689
MOL00017,other,445.73949115870005,2.617745840094259,2,6,83.1025044337134,2,4,-6.013988507281852,-1.8891513000253326,4.12483720725652,4.1158595280530905,13.13009494313817,16.846985555393196,2,7,4,1,558.0336885110712,8.183288427468426,0,True,-3.7168906122550265
MOL00018,kinase,339.1879736171403,3.3376699307779503,1,10,108.61573167406291,6,2,-7.074403425800072,-2.374447365932987,4.699956059867085,3.2037704166126266,11.305397498002023,14.439810939197928,3,3,2,1,405.7192666246017,7.657537994565331,0,True,-3.134413441195905
MOL00019,GPCR,285.60730086178336,2.9483594315429102,3,3,63.50246884964717,8,2,-5.792922331615316,-2.1656351977366444,3.627287133878671,1.6000041174988802,10.392039510738025,10.028254481334589,1,4,4,1,387.7706414940382,5.566295474222025,0,True,0.36378502940343616
MOL00020,protease,279.39389323198594,2.601473425526921,1,2,29.93021541683648,7,4,-5.727283843064337,-2.4951670278109632,3.232116815253374,1.2919920765388475,10.049936504160831,12.487507444819107,0,9,2,1,343.1661077628007,6.2391689566143,0,True,-2.4375709406582757
MOL00021,ion_channel,480.87072841628446,-0.31580820491180894,1,9,118.38891470161947,10,3,-6.497085475748219,-4.336783524720178,2.160301951028041,4.396391430615483,17.07460275249988,17.573984117264892,3,3,2,2,355.04228202358667,7.486486778700401,0,True,-0.4993813647650107
MOL00022,protease,389.22119652556125,3.1726253084506943,4,4,61.14501255731021,4,2,-5.624658158066253,-2.330028631080499,3.2946295269857537,3.359814902084114,12.63678102761432,9.476064871007697,2,7,0,0,501.34828450113775,8.360224597188283,0,True,3.1607161566066235
MOL00023,GPCR,224.2876992491592,1.5321034783562468,3,0,35.927236376174925,4,3,-6.082947459120736,-1.501349741170206,4.58159771795053,2.6301322413790666,7.986275766825027,9.091793037474792,0,2,1,2,258.6392867519811,5.9743947387049685,0,True,-1.1055172706497656
MOL00024,nuclear_receptor,307.7380346206838,5.1954555287196325,1,4,58.711144240455184,4,1,-5.567860802082173,-1.6609894123853735,3.906871389696799,2.864401601706584,10.02887342356327,9.08801289635132,2,8,2,1,405.89564970307185,5.192742562561804,1,False,0.9408605272119512
MOL00025,protease,243.6095860959054,0.5028094061053179,1,9,119.61905030370968,2,2,-6.888242128018714,-3.157885472003266,3.7303566560154477,4.492592852264579,10.078720864406808,11.282734364428745,1,5,1,2,427.02857039506176,7.44960435078107,0,True,-1.2040135000219365
MOL00026,kinase,269.7994186141727,2.2053849920075512,1,5,85.58493192693511,6,3,-6.193833726831171,-2.6143561966122544,3.5794775302189166,2.8974970837770524,9.509494753764896,11.431816774827432,1,3,2,1,339.6015516048216,6.960465622080244,0,True,-1.922322021062536
MOL00027,GPCR,392.3094118182982,3.020685257671206,1,6,68.55161772700326,7,1,-5.07823066054085,-2.0493285424228476,3.0289021181180025,1.7480450890140498,11.584516213723905,13.196954826174105,3,3,0,0,388.41149996143247,6.583560704407855,0,True,-1.6124386124502
MOL00028,kinase,432.7892603038879,3.490462370505823,2,7,82.68070487442999,1,4,-5.902257465138512,-2.0356312618159746,3.8666262033225376,3.1875624266457976,11.272441540549227,12.08910557179068,2,6,1,0,390.8491016246927,5.910916415240007,0,True,-0.8166640312414533
MOL00029,kinase,442.8292850812228,1.9826781591871294,0,6,74.4068707633807,3,4,-6.141644673368465,-1.9510964726804978,4.190548200687967,3.0902291260305113,11.875437203541573,14.682565144567134,0,5,4,0,475.2359470294392,7.045218058051022,0,True,-2.807127941025561
MOL00030,kinase,336.76486169893246,3.8981098951762543,2,3,67.64064597951418,6,4,-6.33571542366458,-1.5364040347773709,4.79931138888721,2.149159858173641,11.263544607038085,14.228737955747777,1,5,3,1,436.75967990544785,8.527797312063933,0,True,-2.9651933487096915
MOL00031,nuclear_receptor,334.0573796815918,1.9992320491169324,1,5,61.00386382852481,4,3,-6.222515066718255,-2.381049092179428,3.8414659745388273,3.5737937357882084,10.97375224042675,11.98311324944271,1,3,0,1,328.99404698032015,7.183312086478734,0,True,-1.0093610090159597
MOL00032,epigenetic,263.05428314703624,2.3791194596457625,2,2,64.15514553788776,1,2,-6.129334521825837,-1.2916037862895307,4.837730735536306,2.9904796949411456,7.485163849982553,6.188377104760632,0,3,0,1,283.94126913338806,6.707581815851996,0,True,1.2967867452219206
MOL00033,GPCR,410.072474556418,1.760625875845828,1,5,60.95861677234557,2,2,-6.702615853301167,-1.1666773142909608,5.535938539010207,2.647727765151194,10.176991629212848,10.998878701230277,2,4,3,0,404.0384004165049,6.7482941785446044,0,True,-0.8218870720174287
MOL00034,nuclear_receptor,226.9334556555405,3.700576108140793,0,7,67.63210455548659,9,4,-6.329485538197921,-2.3427442442242636,3.9867412939736573,3.137263795091811,10.718666996569086,13.7364746362443,1,6,6,1,577.938972894445,9.685751616642577,0,True,-3.0178076396752136
MOL00035,nuclear_receptor,361.17163165272257,3.673048899444705,1,8,100.1303268149339,3,3,-6.400337933411192,-2.443995213520937,3.956342719890255,4.4937367469836556,12.823051818996454,15.050872068449634,0,7,3,1,449.9149562141242,5.711848815813906,0,True,-2.2278202494531794
MOL00036,kinase,391.35819809679583,4.135109627439017,0,8,91.62838135892213,2,2,-6.75805372193568,-1.9516225819648192,4.8064311399708615,4.210715894776234,10.834012498239213,8.93290138532728,1,7,1,1,503.3510633419588,5.575035477866331,0,True,1.9011111129119325
MOL00037,epigenetic,207.063074012702,2.849531974038487,3,6,80.96673521111634,4,1,-6.214817813001486,-1.5183476730602263,4.696470139941259,3.4801199705299486,10.44264500203446,10.806234404424114,8,5,0,0,384.17845156322704,8.283545931965433,0,True,-0.3635894023896533
MOL00038,ion_channel,488.0497746798061,1.2728574964225414,2,7,82.03701578986923,7,1,-6.620567783630887,-1.6619570693634433,4.958610714267444,3.764434631085279,14.177630519127733,13.988021167093436,1,2,1,1,372.8344902351527,4.9264403616834525,0,True,0.18960935203429763
MOL00039,GPCR,207.54518083459675,1.811307267822114,0,5,70.97816919394705,6,3,-5.797346456648455,-2.003319951496103,3.794026505152352,3.4172356084491713,9.32039901797687,10.281286908503812,1,7,6,2,546.339477638531,7.708502087731411,0,True,-0.9608878905269425
MOL00040,nuclear_receptor,382.3711430928913,2.5444467593201097,1,3,37.796585014225975,5,3,-5.719052882666734,-1.2090330548606971,4.510019827806037,1.5381000129890547,10.57707271432257,14.681713315902426,1,7,2,1,430.0754021921795,8.019507591046244,0,True,-4.104640601579856
MOL00041,nuclear_receptor,408.81146167608387,0.8966558352815028,1,5,61.51122649535229,6,1,-6.820602556284937,-2.6133208585730183,4.2072816977119185,4.368276019299425,12.327398136331324,11.940444525459565,0,5,3,1,408.1257828263491,7.142766545912324,0,True,0.3869536108717586
MOL00042,kinase,361.67201244574403,2.3352017417326514,1,7,109.62033043880561,3,1,-5.792316916088618,-2.3396201958326706,3.4526967202559473,4.312998935879942,10.86759666270467,11.188626520629336,0,7,0,0,390.91349132511317,6.210514706770633,0,True,-0.32102985792466576
MOL00043,epigenetic,340.94269990257095,-0.17526996938835282,2,4,39.94802631249096,6,0,-6.564139123445714,-1.102252932261515,5.461886191184199,2.126051690625262,9.082502752974383,8.532273004236972,0,2,0,1,233.10235639335218,4.26007960476347,0,True,0.5502297487374115
MOL00044,protease,413.0261844713168,3.414704271691358,1,3,21.76544103852693,7,0,-6.401136530404509,-1.2074002303315283,5.193736300072981,1.6614559345271829,10.541820185259807,11.80286084214081,1,7,0,0,363.1363377486876,5.486690716336985,0,True,-1.2610406568810024
MOL00045,epigenetic,223.03652091649772,3.661677356864236,1,5,77.82067890915212,2,0,-6.29704388584157,-1.2230134445123078,5.0740304413292625,3.152246819695781,7.362141784181281,7.8104494474006945,0,7,0,0,311.0914281683584,4.115207482539027,0,True,-0.4483076632194134
MOL00046,nuclear_receptor,402.7049683330045,3.8301261329424436,3,6,99.08852604005378,5,2,-5.972419623373097,-2.1397495483716926,3.832670075001404,3.935541901998189,13.329608460024787,10.784909439415532,0,8,1,0,353.7215951326311,6.70238502620966,0,True,2.5446990206092543
MOL00047,other,350.3085578681958,1.7462116943326467,2,5,73.78198893718293,4,2,-6.618853497440362,-2.0857403135862107,4.533113183854152,4.036581775167946,12.061870608916267,14.257172352171434,0,8,1,2,395.6918642754719,6.715106600242621,0,True,-2.1953017432551665
MOL00048,other,400.49138576626626,4.010365334756339,1,7,90.30006058488311,7,2,-5.997825997953199,-2.2707174570761546,3.7271085408770444,4.411392262113078,13.893386912120809,14.103553782425,3,6,2,0,543.4710268206667,6.608352813423247,0,True,-0.21016687030419057
MOL00049,GPCR,563.5340920853864,4.461073180169693,2,2,81.29288904465233,2,0,-5.62619551972069,-2.0499027205336917,3.576292799186998,1.8409667628756656,10.813113180984397,13.570226927058595,0,8,1,2,384.520263954426,7.073528269974003,1,False,-2.7571137460741983
MOL00050,kinase,206.80158419266238,2.362583930252452,1,4,46.49435295582943,2,1,-6.9919103045237225,-1.5771283769884674,5.414781927535255,2.0287290233734927,6.292791365994499,4.173901549178653,2,7,0,1,437.2834674546203,6.804458592454041,0,True,2.1188898168158463
MOL00051,GPCR,168.0454499638825,2.5109903302841032,0,6,75.40986918231214,1,4,-6.594481978914139,-2.6089404166291428,3.9855415622849963,3.2683571408502567,8.42448318409177,11.732919807962467,1,9,3,2,364.2054906082898,7.24850131371359,0,True,-3.3084366238706977
MOL00052,epigenetic,514.8592517334827,1.1458374990890114,1,6,68.4041752610351,5,2,-6.437480646259928,-1.96917897247927,4.468301673780658,3.050399733134185,12.495178180264906,15.035826052268114,1,5,4,2,448.05574162436943,8.436469901110469,1,False,-2.5406478720032073
MOL00053,kinase,265.4574842772477,2.700512283489661,1,10,107.49421853897928,5,0,-6.048870783732181,-2.0309688201719096,4.017901963560272,4.734734168643283,10.604712719626788,11.299482460957378,3,5,0,2,349.80385930953594,6.257602097058244,0,True,-0.6947697413305907
MOL00054,protease,515.5825428435992,5.2812342622862865,1,10,110.7823173917496,2,4,-6.246715641992104,-2.1807893028297403,4.065926339162363,4.5262917519862675,15.02432258967202,19.340424363361226,2,4,4,0,424.5595141838257,7.65474602779579,2,False,-4.316101773689207
MOL00055,epigenetic,223.8433187564151,2.7432990085368902,1,5,55.81874087530874,4,1,-5.968654646462269,-1.9018243716940422,4.066830274768227,2.787258309904874,8.375491694537988,10.602598045270355,0,7,1,2,382.57456436084595,6.8360783222322254,0,True,-2.2271063507323667
MOL00056,kinase,556.0170298826018,4.728307611894239,1,4,51.61097283483711,5,2,-5.966749342446755,-2.6075280230006936,3.359221319446061,2.0439886589937575,13.069572628995896,17.139400131900324,0,8,3,1,460.9960657081051,5.681742199477256,1,False,-4.0698275029044275
MOL00057,GPCR,662.6331359567232,2.5684426526331934,3,4,56.67775604188719,3,2,-6.961229735877561,-3.0331176673777285,3.9281120684998325,2.2491302642125497,14.357616504190377,17.294262069331225,0,6,2,2,330.542453958141,5.669923690340909,1,False,-2.9366455651408483
MOL00058,GPCR,325.37209676439204,3.4432872762259934,1,1,22.281670322377792,5,1,-6.069384770966196,-1.4551396604039628,4.6142451105622335,2.030497406285292,8.710769051871692,8.5579364191491,0,6,0,1,337.3845318120287,4.389528377585229,0,True,0.15283263272259262
MOL00059,GPCR,488.41971003740565,3.8801263652897395,1,5,65.78977921721899,5,0,-5.89175986672659,-1.8160913162174395,4.07566855050915,2.3442749818964836,11.598622686477528,11.744862580191754,0,5,0,1,293.8739598644382,5.636385891727345,0,True,-0.14623989371422574
MOL00060,nuclear_receptor,374.62357406570754,2.3306164573284973,3,8,107.09013316048187,7,2,-6.931661457367616,-1.7398109969365256,5.19185046043109,4.222813694982463,13.040934774201554,13.825918400787735,0,6,4,2,391.4988097218684,5.894350919901518,0,True,-0.7849836265861807
MOL00061,protease,296.8277393511194,3.4396632201163597,1,3,27.038579227715847,2,1,-6.595166544117116,-1.9041163246235726,4.691050219493543,2.750905391280545,8.107152232291838,12.013919829206582,0,5,0,1,368.48058536137694,5.616853513493107,0,True,-3.9067675969147437
MOL00062,other,310.9346029596717,3.7543472006212255,1,5,66.42635505700235,7,3,-6.929554712082258,-1.6406674855060728,5.288887226576184,2.0503163800871027,10.57322636620046,15.290486878277099,0,6,2,1,373.29029018456083,6.374657951025604,0,True,-4.717260512076638
MOL00063,kinase,257.3436911187763,2.7878699030163183,2,2,76.65797799493627,5,2,-6.506618926312275,-1.7461679560598562,4.760450970252419,1.9777448339352428,9.45735794442693,9.625447937264061,0,7,0,1,273.01801416119287,6.3702844181059435,0,True,-0.16808999283713177
MOL00064,GPCR,376.3043134663513,1.8345726266775286,1,4,49.33154404188953,3,3,-6.542620745402325,-1.9324526500820403,4.610168095320285,2.6005927068217165,10.098396209476398,14.481000797202297,1,5,3,1,346.5726062499196,7.124086127426192,0,True,-4.382604587725899
MOL00065,kinase,266.754029913899,0.5759335109237496,2,7,103.78495681444488,3,2,-6.365765017184912,-2.153979095492451,4.211785921692461,3.187466996439293,9.986224867532865,11.15637289991874,2,3,0,1,348.92392959484175,7.246896721668184,0,True,-1.1701480323858746
MOL00066,epigenetic,471.0715701763253,3.34294947585487,0,5,72.81014656783931,3,0,-5.568269129539665,-1.7283729810187067,3.8398961485209586,4.937543345829451,12.33867835852987,13.796874740173042,1,4,0,0,397.4294862086712,5.798577283529413,0,True,-1.4581963816431713
MOL00067,GPCR,374.27958941144107,1.4069007466628272,2,4,29.212510134423425,4,1,-6.590201282310823,-1.9483354790373477,4.641865803273475,1.6828833748870902,9.381136473251342,11.852826410236537,3,1,1,2,346.55805178985923,6.311302678116866,0,True,-2.471689936985195
MOL00068,GPCR,239.91825381452094,1.209893396393391,1,4,44.15948753885306,9,0,-6.251214492348064,-0.650160158076616,5.601054334271447,1.947188133531898,8.68928366302907,7.442499996709518,2,7,0,2,452.3385767338919,7.422885355218235,0,True,1.2467836663195513
MOL00069,kinase,253.76212403334483,1.5677728600013594,1,4,44.32831159858044,10,0,-7.090061276999293,-1.3645837409192558,5.725477536080037,4.251283700960746,10.976682208994076,13.126813188335845,2,2,0,1,339.08539179627616,4.755497910450524,0,True,-2.1501309793417693
MOL00070,epigenetic,466.3532733311282,1.368795721036367,4,7,71.96442904640716,4,2,-6.634371045743487,-1.9806757110936852,4.653695334649802,2.8564849620378023,13.559378986643857,19.209680884794917,2,4,1,0,295.66503907738195,6.7218653187532995,0,True,-5.65030189815106
MOL00071,ion_channel,445.3685492396861,1.595026438784344,1,5,88.5993768506786,8,1,-5.798818771579711,-1.780762026259255,4.018056745320456,3.2012913108232164,12.504804713967511,14.484408698525533,1,0,1,0,255.66719689064598,6.44044558884696,0,True,-1.9796039845580218
MOL00072,kinase,401.60660353190906,1.741789335339857,1,5,81.51493434430485,6,2,-6.213035215377424,-2.045508911753061,4.1675263036243635,3.774929599559162,12.164969223592662,14.32867104072864,2,9,0,1,407.87056939538223,6.082257647349931,0,True,-2.163701817135978
MOL00073,epigenetic,415.2909687396962,3.211899263217406,2,5,97.38225807201873,6,1,-6.735508489762879,-2.577796000060133,4.157712489702746,2.996294067817465,11.501496603418287,12.972689968480339,3,10,2,1,472.47156919930444,6.452581792413346,0,True,-1.4711933650620512
MOL00074,ion_channel,367.30727343450695,4.457895326374104,2,7,66.61829144581485,6,0,-6.096724855480747,-1.8398591404532345,4.256865715027512,2.498166052091277,11.218422161110457,13.191482726450166,1,5,0,1,410.23177717679283,6.156075912103149,0,True,-1.9730605653397095
MOL00075,epigenetic,523.5848933882539,4.500900693139186,0,5,41.48319103373372,4,3,-6.495089195059106,-1.692579580975671,4.802509614083435,1.5660258357224925,11.16898294967147,15.651062126719289,0,6,1,2,422.31438049285134,8.756467625051599,1,False,-4.482079177047819
MOL00076,protease,316.0875215403709,3.7849061744877863,2,6,74.23851756344366,2,3,-5.867892501486284,-2.274238222340088,3.593654279146196,1.5490972025317273,9.61119343694934,10.433317189650449,0,10,2,1,469.8914195663611,7.4763550431707335,0,True,-0.822123752701108
MOL00077,protease,377.4017681824657,1.3737594651298894,1,6,58.39338502013307,8,3,-6.387399617918929,-1.8680127001017364,4.519386917817192,2.653069817833715,11.717196785259091,13.042748580332155,0,2,2,1,337.73287177539004,6.0575195871809395,0,True,-1.3255517950730642
MOL00078,kinase,516.0921737108281,2.672864707981479,0,7,96.63193917029,5,3,-7.043949204980419,-3.1303836464317327,3.913565558548686,3.9564265822798896,13.724866676279921,14.721532206167675,1,4,4,1,404.9943137409828,8.342616651423967,1,False,-0.9966655298877534
MOL00079,ion_channel,171.99439581891784,-0.7424502940459736,1,5,66.27677053467906,6,2,-6.819073636103736,-2.5529058574440238,4.266167778659712,3.0113763402669314,9.059892573011712,12.299288515331433,0,2,1,2,395.0927231038603,6.461876486906237,0,True,-3.239395942319721
MOL00080,protease,415.7844154503395,5.324383330417205,1,1,46.676517194904086,8,1,-5.591547537622551,-2.0375442547047045,3.5540032829178467,0.4819041266279923,11.43674335795617,13.963457839394758,3,10,1,1,505.53361610678473,6.287694840575424,1,False,-2.5267144814385887
MOL00081,kinase,300.8352438190886,3.187023925881658,1,5,80.10369504775034,7,1,-5.69711856447701,-1.8403981447404343,3.8567204197365754,3.5572988904289513,11.251859276660296,11.975591308089852,1,8,0,2,485.38613537437016,7.879280433661903,0,True,-0.7237320314295559
MOL00082,protease,348.9806180015159,2.409304615168723,2,9,124.57946158320055,6,6,-6.8012355016282635,-3.6488414560448734,3.15239404558339,4.928542581210461,16.050421305031367,14.995127420237695,5,5,4,2,456.99421757963984,8.93977716555979,0,True,1.055293884793672
MOL00083,protease,333.7464465189726,3.6615260558987894,2,2,55.182142519896885,3,2,-6.239267574469375,-2.1740739267974094,4.065193647671966,2.07338247879533,9.056140901723873,9.765678160899341,0,7,1,1,549.618126050299,6.94005491341632,0,True,-0.7095372591754678
MOL00084,GPCR,232.54647784127835,0.8245803510096463,2,5,87.58148099032067,7,3,-6.334033122602989,-1.9791352049794146,4.354897917623575,3.0182982809196144,10.357987653359526,8.902185009649394,2,0,2,1,373.50973384908116,5.631977018303411,0,True,1.4558026437101326
MOL00085,epigenetic,392.95605150613363,2.6323179643910604,2,7,92.35742246507196,7,4,-5.962836395668693,-1.7380481993232988,4.2247881963453935,3.2838618426640376,13.966714244968447,14.712059627056863,2,6,4,0,519.4340359048434,7.849378575822605,0,True,-0.7453453820884164
MOL00086,nuclear_receptor,316.33593445162364,1.2632525392507004,0,3,46.22531932614233,4,1,-5.9998822968487495,-2.069034117459861,3.9308481793888883,2.35662405462788,8.484992715954869,7.9070857567293125,2,1,0,2,240.57119915977916,5.653028469457505,0,True,0.5779069592255563
MOL00087,protease,224.4658280758561,0.8427836965142836,1,4,40.21244876147503,7,1,-6.3817970492012925,-1.957548966590472,4.424248082610821,3.109456243506524,9.078234839076735,8.658132154780509,2,3,0,0,434.98000780807695,6.668521708897739,0,True,0.42010268429622677
MOL00088,PPI,193.25487297205535,3.3821559805726498,3,4,57.51761105568188,7,3,-6.340287206781066,-1.144621584901445,5.1956656218796216,1.8514343957292367,9.689990701230505,13.686088471251107,3,7,1,1,557.0238634848354,5.836458776833177,0,True,-3.9960977700206026
MOL00089,protease,400.56014575588017,2.2646889500768697,3,5,88.55890868448233,5,2,-6.068464739431269,-2.2271422161274415,3.8413225233038273,4.433762436230817,12.913794543156913,14.06667759373857,3,1,2,1,395.12813167796264,6.498352974489319,0,True,-1.1528830505816572
MOL00090,other,501.506475194762,1.8433825033524216,0,5,39.972213247074855,2,3,-6.586784019895487,-2.4199047829210123,4.1668792369744745,2.570039457080448,11.096008086624359,15.594907275013817,0,4,2,0,437.2659886445355,6.308868121547824,1,False,-4.4988991883894585
MOL00091,other,315.07424777546413,3.392061399527797,0,8,100.7751540772038,5,4,-6.416899346303143,-2.6631535108550803,3.753745835448063,3.4557486978691396,10.787350387957058,13.306976460020895,0,7,4,1,586.2883534694039,7.48732176523873,0,True,-2.5196260720638364
MOL00092,ion_channel,235.42170703478172,3.5042329959491028,1,10,143.85162196309892,10,7,-6.026783397625675,-4.169626028757009,1.8571573688686653,4.56802632839697,16.035437361729937,16.21381645488494,1,9,3,2,516.9998806027451,7.949010275131596,0,True,-0.1783790931550051
MOL00093,GPCR,538.1141824951904,4.882827480926608,2,1,29.50171383345813,10,2,-5.7874929725526165,-1.1485296788543933,4.6389632936982235,1.8188224349090016,13.488392558669721,15.11602735015079,1,7,3,2,427.25690918470394,8.774913523881125,1,False,-1.6276347914810678
MOL00094,PPI,352.5005726489266,2.5575523125785806,1,1,25.312523591862174,4,0,-6.880946844249835,-1.1941246833755668,5.686822160874268,2.4176423948118204,8.6904058061238,7.57220709721463,0,3,0,0,372.975600371495,6.362543165432202,0,True,1.118198708909171
MOL00095,protease,359.32061806709044,2.45274357652803,2,6,98.41246473594731,2,5,-6.013589265328391,-2.3472974065554917,3.666291858772899,3.1261416595181446,12.148735883146252,14.632104315957934,1,8,3,1,474.14577341045145,8.511317158418054,0,True,-2.483368432811682
MOL00096,GPCR,346.22645203253114,3.4338841536362636,0,8,135.0095596951476,6,2,-6.461067197733645,-2.9884745069463072,3.472592690787338,4.324043805532466,11.535648010729474,13.05157521951123,0,5,2,0,388.08085346839164,5.907463340642259,0,True,-1.515927208781756
MOL00097,other,339.092826348574,1.5923340947712132,2,4,57.12722406933961,5,2,-6.489759221542424,-1.9777420575338778,4.512017164008546,2.7812783692187413,10.130377039114368,12.605710196521706,0,7,1,1,280.7240980570579,5.090366793377957,0,True,-2.475333157407338
MOL00098,GPCR,429.72787349924334,0.8189412034420875,2,3,43.53695009788599,6,4,-6.623279085053586,-2.39681108279398,4.2264680022596055,1.5180428799696293,12.155543892745303,14.712978117090971,1,4,1,1,352.99481037105846,4.747744383425678,0,True,-2.557434224345668
MOL00099,epigenetic,120.0,1.80406856602767,2,6,109.64421874762351,9,0,-6.337073619533568,-2.282050934347192,4.055022685186376,3.7520904705898563,9.14043112159534,7.725795004669255,0,2,1,1,334.33492424364596,7.158837227285346,0,True,1.4146361169260846
MOL00100,kinase,207.20225229481656,1.7318547033943101,1,3,30.27550978763027,3,1,-6.773041409519445,-1.3562866233121587,5.416754786207287,2.7714400367789302,7.401739300138066,8.408830939021477,0,7,1,1,401.80263887740017,5.682600596609882,0,True,-1.007091638883412
MOL00101,GPCR,324.67706219968045,1.1110957994567292,1,2,33.500721688774334,3,1,-6.619858193002563,-0.8256427528057887,5.7942154401967745,1.0831765933954394,8.964064725552282,8.964927316630964,2,1,2,1,458.47995375810007,5.802314262240674,0,True,-0.0008625910786825841
MOL00102,protease,458.22729355308377,2.476015667584425,0,6,89.30967208079332,6,6,-6.052027802410087,-1.9982655930563404,4.053762209353746,3.1567850563869913,13.55734321385127,14.27524884465372,2,16,4,1,610.3200196966233,8.680917044792361,0,True,-0.7179056308024503
